video_id,status,object,hidden_world,title,hook,script,scene_count,provider,output_file,youtube_upload_status,youtube_url,publish_status,views,average_view_duration,retention_notes,comments_count,subscriber_gain,notes,qc_status
024,idea,toothbrush,tiny dentist office where bristles are patients,My toothbrush bristles are all waiting in a tiny dentist office,"My toothbrush bristles flattened in unison, like sitting down.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
025,idea,sock drawer,tiny lost-and-found bureau where missing socks file complaints,My sock drawer runs a tiny lost-and-found bureau,One lonely sock raised a tiny flag in my drawer.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
026,idea,light switch,tiny elevator control room routing the house's lights,My light switch hides a tiny elevator control room,"My light switch clicked once, by itself, at 2AM.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
027,idea,umbrella,tiny weather station predicting storms under the canopy,My umbrella has a tiny weather station forecasting tonight,Tiny lightning flickered under my umbrella when I opened it.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
028,scripted,piggy bank,"tiny vault under heist, coin-sized guards on alert",Someone is robbing the tiny vault inside my piggy bank,"My piggy bank's coin slot just breathed, like a mouth.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
029,scripted,lava lamp,tiny bioluminescent ocean with a submarine crew,There is a tiny submarine exploring the ocean in my lava lamp,Something inside my lava lamp moved against gravity.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
030,idea,vacuum cleaner,tiny recycling city built from collected dust and debris,My vacuum cleaner is hiding a tiny city built from dust,A tiny skyline formed inside my vacuum's dust swirl.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
031,idea,doorbell,tiny telegraph office relaying every visitor's mood,My doorbell runs a tiny telegraph office reading visitors,My doorbell glowed before anyone even rang it.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
032,idea,stapler,"tiny paper courier office, staples ride paper-clip bikes",My stapler runs a tiny courier office delivering paper,"My stapler's jaw opened by itself, like a gate.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
033,idea,fish tank,tiny lighthouse keeper colony living among the gravel,A tiny lighthouse keeper colony lives in my fish tank gravel,"The gravel in my fish tank shifted, revealing a glowing window.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
034,idea,photo frame,tiny theater where photographed moments replay on a stage,My photo frame has a tiny theater replaying old moments,The background of my photo flickered like a curtain.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
035,idea,headphones,tiny radio control room broadcasting your own thoughts back,My headphones hide a tiny radio room broadcasting my thoughts,"My headphone padding pulsed once, like breathing.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
036,idea,wallet,tiny customs checkpoint inspecting every bill and card,My wallet runs a tiny customs checkpoint for every card,A card edge glowed like a passport stamp inside my wallet.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
037,idea,old key,tiny locksmith archive of every door it ever opened,My old key keeps a tiny archive of every door it opened,The teeth of my old key shimmered like circuitry.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
038,idea,coffee maker,tiny weather machine brewing storms instead of coffee,My coffee maker is brewing a tiny storm instead of coffee,Steam from my coffee maker curled into a tiny thunderhead.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
039,idea,houseplant pot,tiny mining operation tunneling through the roots,There is a tiny mining operation under my houseplant's roots,"The soil in my houseplant pot shifted, revealing a tiny shaft.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
040,idea,wristwatch,tiny air traffic control tower routing the seconds like planes,My wristwatch hides a tiny air traffic control tower,"My watch's second hand paused mid-tick, like it was waiting for clearance.",,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
041,idea,old typewriter,tiny newsroom where keys are reporters racing to print,My old typewriter has a tiny newsroom racing to print,One key on my typewriter lifted on its own.,,5,kling,,not_uploaded,,private_pending,,,,,,Subseries: WTF Worlds,pending
